libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
anduin. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
sarn 0 0 0 0 0 0 
geb 0 0 0 0 0 0 
alcanz 0 1 0 0 0 0 
orcos 0 1 0 0 1 1 
sarum 0 0 0 0 0 0 
cre 0 1 0 0 0 0 
isengard, 0 0 0 0 0 0 
logr 1 1 0 0 1 1 
esquiv 0 1 0 0 0 0 
cruz 0 1 0 0 0 0 
orill 0 1 0 0 0 0 
rio. 0 0 0 0 1 0 
al 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
prad 0 1 0 0 0 0 
parth 0 0 0 0 0 0 
galen, 0 0 0 0 0 0 
pies 0 1 0 0 0 1 
amon 0 0 0 0 0 0 
hen, 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
apart 0 1 0 0 0 0 
reflexion 0 1 0 0 0 0 
segu 1 1 1 0 0 1 
camin 1 1 0 1 1 1 
mordor, 0 0 0 0 0 0 
quer 0 1 0 0 0 0 
peligr 0 1 1 0 0 0 
amigos. 0 1 0 0 0 0 
boromir, 0 0 0 0 0 0 
llev 1 1 1 1 1 0 
des 1 1 1 1 1 1 
anillo, 1 0 0 0 0 0 
sigu 1 1 1 1 1 0 
trat 1 1 1 0 1 0 
convenc 1 1 0 0 0 0 
destruyer 0 1 1 0 0 0 
anill 1 0 0 0 0 0 
llev 1 1 1 1 1 0 
ciudad, 0 1 0 0 1 0 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
usad 0 1 0 1 0 0 
defens 0 1 1 0 0 0 
sauron. 0 0 0 0 0 0 
ante 1 1 1 1 1 1 
negat 0 1 0 0 0 0 
hobbit, 1 1 0 0 0 0 
borom 0 0 0 0 0 0 
intent 0 1 0 0 1 0 
quit 0 1 1 0 0 0 
anill 1 0 0 0 0 0 
frod 0 0 0 0 0 0 
pus 1 1 0 0 1 1 
huir 0 1 0 1 0 1 
el. 1 0 0 0 0 0 
entonc 1 0 1 0 1 1 
borom 0 0 0 0 0 0 
regres 1 1 0 0 1 1 
rest 1 1 0 1 0 0 
comun 0 0 1 0 0 0 
contarselo. 0 0 0 0 0 0 
tod 0 1 1 1 1 1 
sal 1 1 1 1 1 0 
busc 1 1 0 1 1 1 
frod 0 0 0 0 0 0 
aragorn 0 0 0 0 0 0 
orden 1 1 0 0 0 0 
borom 0 0 0 0 0 0 
sigu 1 1 1 1 1 0 
merry 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
protegerlos, 0 1 0 0 0 0 
segu 1 1 1 0 0 1 
sam. 0 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
sam 0 0 1 0 0 0 
encontr 1 1 1 0 1 1 
frod 0 0 0 0 0 0 
orill 0 1 0 0 0 0 
rio 1 0 1 1 1 0 
part 1 1 1 1 1 1 
barc 0 1 0 0 1 1 
aragorn 0 0 0 0 0 0 
encontrara. 0 1 0 0 0 0 
tras 1 1 1 1 1 1 
huid 0 0 1 0 0 0 
frod 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
parth 0 0 0 0 0 0 
galen, 0 0 0 0 0 0 
borom 0 0 0 0 0 0 
muer 0 1 1 1 1 1 
man 0 1 1 0 1 1 
uruk-hai 0 0 0 0 0 0 
proteg 0 1 1 0 0 0 
merry 0 0 0 0 0 0 
pippin, 0 0 0 0 0 0 
apres 0 0 1 0 1 0 
sirvient 0 0 1 0 0 0 
saruman. 0 0 0 0 0 0 
aragorn, 0 0 0 0 0 0 
legol 0 0 0 0 0 0 
gimli 0 0 0 0 0 0 
decid 1 1 1 1 1 0 
persegu 1 0 1 0 0 0 
rescat 0 0 1 1 1 1 
hobbits. 1 0 1 1 0 1 
a 1 1 1 1 1 1 
momento, 0 0 1 0 0 0 
narracion 0 0 0 0 0 0 
divid 0 0 1 0 0 0 
partes: 0 0 1 0 0 0 
lado, 0 0 1 0 0 0 
persecu 0 0 1 0 0 0 
cazador 0 0 1 0 0 0 
otro, 0 0 1 0 0 0 
peripeci 0 0 1 0 0 0 
merry 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
man 0 1 1 0 1 1 
orcos. 0 1 0 0 1 0 
en 1 1 1 1 1 1 
primera, 0 0 1 0 0 0 
cazador 0 0 1 0 0 0 
encuentr 1 0 1 1 1 1 
eor 0 0 0 0 0 0 
rohirrim 0 0 0 0 1 0 
eomer, 0 0 0 0 0 0 
mariscal 0 0 0 0 0 0 
rein 0 0 1 1 0 0 
rohan, 0 0 0 0 0 0 
inform 1 1 1 0 1 1 
batall 0 0 1 0 1 0 
lind 0 0 0 0 0 0 
fangorn 0 0 0 0 0 0 
donde, 0 0 1 0 0 0 
aparentemente, 0 0 1 0 0 0 
habr 0 0 1 0 0 0 
perec 0 0 1 0 0 1 
hobbits. 1 0 1 1 0 1 
esta 1 1 1 1 1 1 
culmin 0 0 1 0 0 0 
aragorn 0 0 0 0 0 0 
descubr 0 0 1 1 0 0 
huellas, 0 0 1 0 0 0 
camp 0 0 1 0 1 0 
batalla, 0 0 1 0 1 0 
llev 1 1 1 1 1 0 
intern 0 0 1 0 0 0 
bosqu 0 1 1 0 1 0 
fangorn 0 0 0 0 0 0 
reencontr 0 0 1 0 0 1 
gandalf, 0 0 0 0 0 0 
convert 0 0 1 0 0 0 
mag 1 1 1 0 0 1 
blanco. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
otra, 0 0 1 0 0 0 
merry 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
dej 1 0 1 1 0 1 
señal 0 0 1 0 1 0 
cazador 0 0 1 0 0 0 
rescaten, 0 0 1 0 0 0 
pens 0 0 1 0 0 0 
ardid 0 0 1 0 0 0 
escapar, 0 0 1 0 0 0 
sufr 0 0 1 0 0 0 
tortur 0 0 1 0 0 0 
cansancio. 0 0 1 0 0 0 
al 1 1 1 1 1 1 
final, 0 0 1 0 0 0 
hobbits 1 1 1 1 0 1 
escap 1 1 1 1 0 1 
medi 0 0 1 0 0 1 
batall 0 0 1 0 1 0 
refugi 0 0 1 0 0 0 
bosqu 0 1 1 0 1 0 
fangorn, 0 0 0 0 0 0 
encuentr 1 0 1 1 1 1 
barbol, 0 0 0 0 0 0 
ent. 0 0 0 0 0 0 
este 1 1 1 1 0 1 
interior 0 0 1 0 0 0 
bosqu 0 1 1 0 1 0 
cas 1 1 1 0 1 1 
(un 0 0 1 0 0 0 
descubr 0 0 1 1 0 0 
orcos), 0 0 0 0 0 0 
ayud 1 0 1 0 1 1 
repon 0 0 1 0 0 0 
fatig 0 0 1 0 0 0 
enter 0 0 1 0 0 0 
notici 1 0 1 0 0 0 
mund 0 0 1 0 0 0 
exterior. 0 0 1 0 0 0 
al 1 1 1 1 1 1 
dia, 0 0 0 1 0 0 
ent 1 1 1 1 1 1 
convoc 0 0 1 0 1 0 
asamble 0 0 1 0 0 0 
congener 0 0 0 0 0 0 
defin 0 0 1 0 0 0 
haran 0 0 0 0 0 0 
peligr 0 1 1 0 0 0 
represent 0 1 1 0 0 0 
sarum 0 0 0 0 0 0 
roh 0 0 0 0 1 0 
ende 1 1 1 1 1 1 
gondor 0 0 0 0 0 0 
oeste. 0 0 0 0 0 0 
lueg 1 0 0 1 0 0 
reencuentr 0 0 1 0 0 0 
gandalf, 0 0 0 0 0 0 
cazador 0 0 1 0 0 0 
mag 1 1 1 0 0 1 
dirig 0 0 1 0 1 1 
edoras, 0 0 0 0 0 0 
liber 0 0 1 0 1 0 
theod 0 0 0 0 0 0 
influenci 0 0 1 0 0 0 
malign 0 0 1 0 0 0 
ejerc 0 0 1 0 0 0 
mag 1 1 1 0 0 1 
isengard 0 0 0 0 0 0 
sirvient 0 0 1 0 0 0 
grima. 0 0 0 0 0 0 
frent 0 1 0 0 1 0 
inminent 0 0 0 0 0 0 
ataqu 0 0 1 0 1 0 
saruman, 0 0 0 0 0 0 
gandalf 0 0 0 0 0 0 
aconsej 0 0 1 0 0 0 
rey 0 0 0 0 1 1 
roh 0 0 0 0 1 0 
repleg 0 0 1 0 0 0 
abism 0 1 0 0 0 0 
helm 0 0 0 0 1 0 
defend 1 0 1 0 0 0 
territorio, 0 0 1 0 0 0 
cos 0 1 1 1 1 1 
hacen. 0 0 1 0 0 0 
mientr 0 1 1 1 1 1 
prep 0 0 1 1 0 0 
repliegue, 0 0 1 0 0 0 
mag 1 1 1 0 0 1 
meduseld 0 0 0 0 0 0 
intencion 0 0 0 0 0 0 
segu 1 1 1 0 0 1 
estrategi 0 0 1 0 0 0 
prefij 0 0 1 0 0 0 
derrot 0 1 1 0 0 1 
oponente. 0 0 1 0 0 0 
en 1 1 1 1 1 1 
parte, 0 0 1 0 0 0 
produc 1 0 1 0 0 1 
batall 0 0 1 0 1 0 
